,0
0,45955
1,165202
2,115213
3,131457
4,49815
5,143635
6,124209
7,141741
8,109014
9,101523
10,144722
11,93147
12,108644
13,95231
14,191985
15,198005
16,189731
17,88439
18,181097
19,401
20,151655
21,130108
22,170093
23,108167
24,243341
25,158206
26,83491
27,7047
28,160140
29,114853
30,62604
31,86238
32,45163
33,10412
34,221270
35,12205
36,96426
37,147757
38,159309
39,11177
40,32606
41,53694
42,65718
43,209320
44,130581
45,224752
46,34035
47,12055
48,174840
49,56770
50,188650
51,237314
52,213141
53,37421
54,120408
55,109477
56,238800
57,28689
58,60633
59,81597
60,18770
61,166488
62,170763
63,187963
64,214919
65,28961
66,171143
67,123832
68,181279
69,26408
70,238604
71,20404
72,29636
73,189829
74,129513
75,245676
76,46008
77,102245
78,129075
79,110389
80,112185
81,151932
82,245382
83,154188
84,115386
85,120412
86,34151
87,8068
88,38388
89,13649
90,166957
91,192041
92,94974
93,101195
94,67993
95,177680
96,81776
97,46475
98,142397
99,80200
100,216076
101,188117
102,213703
103,72993
104,234449
105,216374
106,106842
107,101032
108,38030
109,62531
110,46860
111,239808
112,118716
113,165965
114,16543
115,78961
116,75797
117,79777
118,154567
119,56878
120,127953
121,207622
122,75813
123,38132
124,171729
125,221764
126,95458
127,119585
128,33093
129,2646
130,48635
131,204697
132,82780
133,124863
134,36377
135,77696
136,214941
137,233480
138,153189
139,241315
140,21146
141,224961
142,149451
143,61646
144,176489
145,19618
146,170970
147,241157
148,158564
149,188334
150,220728
151,156045
152,10706
153,164436
154,234041
155,54181
156,178560
157,245791
158,44645
159,213477
160,84652
161,71521
162,234740
163,50738
164,11639
165,82735
166,24272
167,95958
168,26918
169,105293
170,154485
171,21513
172,155363
173,108355
174,116431
175,218786
176,154731
177,198212
178,124886
179,143092
180,106490
181,223782
182,242632
183,179375
184,166777
185,133057
186,242600
187,8490
188,215798
189,13390
190,164703
191,12598
192,67628
193,91803
194,169859
195,46248
196,29162
197,62566
198,145140
199,237163
200,107709
201,236536
202,127856
203,198346
204,68395
205,108010
206,111725
207,224183
208,50462
209,169800
210,82093
211,164853
212,119373
213,32455
