,0
0,153470
1,35769
2,134410
3,77369
4,131653
5,223402
6,18771
7,12086
8,234507
9,56850
10,20606
11,7465
12,242511
13,91646
14,110257
15,190634
16,69046
17,121422
18,136426
19,94375
20,32562
21,64753
22,42515
23,21666
24,93398
25,174161
26,175434
27,18688
28,63174
29,79012
30,211073
31,164477
32,12329
33,125939
34,103375
35,65232
36,10035
37,223262
38,38491
39,55288
40,219521
41,240590
42,213120
43,59062
44,60011
45,1593
46,101656
47,74062
48,115442
49,66042
50,170128
51,176228
52,207862
53,204391
54,119632
55,156279
56,12889
57,105285
58,10717
59,108815
60,91362
61,16746
62,37848
63,13109
64,151409
65,180904
66,18501
67,79811
68,62145
69,112858
70,57063
71,96888
72,136820
73,86627
74,195242
75,25527
76,79450
77,243462
78,193844
79,36039
80,244868
81,187635
82,80950
83,8534
84,33095
85,80539
86,84171
87,186842
88,91151
89,190698
90,135814
91,15596
92,212058
93,155876
94,49743
95,133914
96,28010
97,105580
98,204514
99,92045
100,87388
101,37571
102,209701
103,70593
104,147365
105,55996
106,163781
107,209049
108,135608
109,120449
110,195155
111,245272
112,170675
113,105743
114,83834
115,66800
116,117283
117,135839
118,179074
119,224646
120,66909
121,170931
122,174160
123,32206
124,218021
125,7448
126,41316
127,57438
128,107184
129,219755
130,60355
131,122742
132,20542
133,229741
134,42358
135,87529
136,198134
137,233297
138,198716
139,173122
140,209445
141,231478
142,131505
143,26379
144,36249
145,11486
146,9590
147,152286
148,68961
149,96487
150,152047
151,109129
152,160646
153,2700
154,99437
155,244387
156,42684
157,32876
158,224799
159,234608
160,191949
161,154897
162,213935
163,119353
164,202674
165,122953
166,189330
167,163859
168,147404
169,237487
170,26327
171,148179
172,11639
173,138970
174,5867
175,62413
176,101151
177,194280
178,99632
179,226246
180,79945
181,213515
182,62874
183,142910
184,147319
185,132448
186,172733
187,14661
188,98357
189,57653
190,243344
191,197032
192,20771
193,209455
194,87625
195,138724
196,227736
197,179185
198,42370
199,22970
200,77447
201,157895
202,121845
203,187159
204,39823
205,238294
206,113334
207,149400
208,207392
209,193443
210,184600
211,96819
212,226130
213,102288
214,82521
215,210425
216,7706
217,79633
218,30221
219,184867
220,87052
221,48790
222,131934
223,83076
224,189779
225,214497
226,42
227,206726
228,74546
229,22479
230,37646
231,66826
232,145943
233,110427
234,193477
235,132960
236,86273
237,215508
238,245822
239,213880
240,160866
241,40860
242,114492
243,158167
244,14516
245,84021
246,175982
247,208268
248,33487
249,192645
250,242225
251,142327
252,156531
253,154776
254,159862
255,76040
256,102402
257,227950
258,92345
259,233118
260,189747
261,122864
262,79132
263,234411
264,184353
265,49461
266,37975
267,133986
268,7170
269,50860
270,240591
271,181568
272,167964
273,70396
274,126454
275,159125
276,226710
277,94458
278,47066
279,155771
280,243932
281,84246
282,87852
283,96692
284,203053
285,150370
286,61939
287,131491
288,131625
289,75662
290,90640
291,81083
292,50161
293,143283
294,176923
295,149931
296,75989
297,228890
298,181707
299,95382
300,51782
301,101602
302,198999
303,47736
304,111972
305,77416
306,231271
307,33135
308,47040
309,144712
310,57957
311,192569
312,138767
313,174145
314,235825
315,181741
316,95297
317,31421
318,154586
319,197964
320,145280
321,200157
322,105468
323,212904
324,229590
325,94785
326,56720
327,91996
328,211415
329,90002
330,228170
331,20572
332,100229
333,45016
334,18640
335,189878
336,138350
337,77052
338,165341
339,43001
340,136258
341,9840
342,203518
343,213835
344,118174
345,106435
346,22452
347,200986
348,8371
349,238115
350,51044
351,83847
352,132799
353,120282
354,200281
355,15048
356,145539
357,116442
358,109941
359,79159
360,62646
361,15545
362,172936
363,146425
364,92281
365,71615
366,120528
367,244822
368,228044
369,89376
370,241304
371,168994
372,62430
373,221951
374,135157
375,147567
376,5774
377,60604
378,60321
379,120395
380,225874
381,50765
382,177607
383,63760
384,236052
385,105636
386,75736
387,180549
388,229014
389,197113
390,232718
391,159803
392,69302
393,202571
394,64871
395,53611
396,243138
397,41056
398,212254
399,159314
400,204975
401,105529
402,178420
403,144519
404,167636
405,182754
406,227932
407,106110
408,186986
409,203398
410,18974
411,133627
412,236674
413,157007
414,116473
415,141660
416,99772
417,116468
418,189789
419,169975
420,150128
421,160495
422,1493
423,186282
424,157837
425,15660
426,43614
427,241052
428,114919
429,148891
430,201734
431,157448
432,158189
433,95535
434,101335
435,63051
436,234022
437,32301
438,54779
439,72136
440,130573
441,189288
442,209090
443,183297
444,158447
445,73121
446,107699
447,91941
448,53082
449,24493
450,138278
451,154432
452,91889
453,28407
454,92236
455,138378
456,102490
457,47717
458,229961
459,45336
460,19126
461,14972
462,25482
463,242177
464,10008
465,172470
466,170758
467,228009
468,149455
469,204947
470,103116
471,44845
472,241436
473,243931
474,206053
475,124562
476,57457
477,152326
478,188534
479,157686
480,4666
481,96839
482,222013
483,108530
484,171983
485,137308
486,196381
487,98776
488,102042
489,78206
490,173764
491,41958
492,45788
493,180907
494,114018
495,95288
496,82269
497,232907
498,152676
499,225889
500,66739
501,99890
502,66231
503,7645
504,77129
505,113838
506,165264
507,25931
508,211093
509,152123
510,128656
511,142915
512,107764
513,120407
514,107765
515,197873
516,194792
517,238199
518,243911
519,215586
520,57010
521,202886
522,235709
523,86848
524,236578
525,138672
526,93848
527,194042
528,164978
529,140904
530,44698
531,38648
532,143393
533,73417
534,18970
535,72328
536,111383
537,164973
538,69393
539,121169
540,167538
541,44959
542,19260
543,133260
544,25008
545,11997
546,68840
547,49414
548,226785
549,154106
550,139311
551,116484
552,157018
553,231094
554,42876
555,146302
556,21286
557,135148
558,54019
559,54174
560,181159
561,91379
562,159201
563,48622
564,180006
565,14466
566,202581
567,112777
568,58967
569,116155
570,133538
571,13806
572,58379
573,242387
574,84805
575,9039
576,176505
577,109506
578,229210
579,209575
580,211173
581,214130
582,130836
583,120373
584,22473
585,64311
586,116811
587,93150
588,26022
589,194840
590,27039
591,169712
592,116899
593,240804
594,69854
595,5595
596,99418
597,169477
598,90616
599,93332
600,113656
601,29726
602,223727
603,222420
604,200599
605,9835
606,101469
607,161302
608,147794
609,15428
610,202487
611,70703
612,183276
613,63465
614,86944
615,110042
616,207989
617,223206
618,51608
619,80369
620,153450
621,112588
622,28226
623,61490
624,108787
625,64562
626,90942
627,221796
628,26957
629,232141
630,110006
631,72573
632,140656
633,15451
634,233814
635,221660
636,65079
637,121930
638,71625
639,239269
640,80961
641,88758
642,106267
643,243528
644,1776
645,49425
646,233048
647,225057
648,132240
649,61696
650,220195
651,23388
652,57306
653,34612
654,90773
655,164536
656,144524
657,194302
658,71306
659,172574
660,171873
661,79948
662,117500
663,212964
664,187184
665,75386
666,76720
667,14252
668,199570
669,89111
670,123803
671,191877
672,223614
673,184695
674,111564
675,79786
676,127586
677,136106
678,160176
679,153800
680,173623
681,95574
682,214969
683,5029
684,36928
685,187634
686,48490
687,108977
688,174628
689,101790
690,50353
691,187744
692,123328
693,215277
694,162179
695,221385
696,152626
697,17665
698,16490
699,105769
700,143676
701,22629
702,19803
703,18147
704,175447
705,40223
706,134798
707,194394
708,177878
709,51201
710,142703
711,147858
712,78880
713,16623
714,133501
715,77232
716,111205
717,126990
718,7417
719,222722
720,28056
721,150125
722,81998
723,192534
724,183930
725,103627
726,241412
727,148843
728,93778
729,100791
730,238547
731,85573
732,235575
733,192307
734,16567
735,23020
736,73670
737,113932
738,104936
739,7882
740,104288
741,175135
742,67125
743,211847
744,225642
745,94966
746,156188
747,60177
748,107313
749,122591
750,236664
751,126222
752,99770
753,120139
754,172263
755,203083
756,188111
757,115360
758,34923
759,53878
760,229435
761,243902
762,5011
763,192399
764,155590
765,239280
766,196994
767,74028
768,243789
769,174581
770,97550
771,66786
772,107922
773,127129
774,139753
775,164987
776,82737
777,102571
778,158304
779,46622
780,100542
781,40131
782,125440
783,127196
784,95265
785,177856
786,101750
787,68736
788,181755
789,166906
790,220038
791,37313
792,230004
793,43934
794,149624
795,135837
796,67821
797,102327
798,156557
799,77849
800,41059
801,131682
802,67895
803,10701
804,67878
805,196801
806,126931
807,19970
808,95213
809,119702
810,36404
811,224514
812,161309
813,108442
814,128004
815,210572
816,208555
817,221183
818,167840
819,29127
820,87074
821,239224
822,84762
823,165293
824,45976
825,142154
826,202316
827,13723
828,210390
829,229080
830,29821
831,226288
832,125350
833,208759
834,185075
835,240634
836,185217
837,223096
838,128075
839,236792
840,244903
841,85814
842,136139
843,197782
844,56262
845,83941
846,26608
847,88150
848,144613
849,34335
850,125365
851,115411
852,243013
853,13042
854,63948
855,96073
856,146672
857,159544
858,195880
859,142173
860,172602
861,141022
862,134241
863,108002
864,193533
865,7748
866,141788
867,90804
868,230185
869,200654
870,21146
871,32420
872,176397
873,225095
874,99025
875,204311
876,60161
877,52731
878,2962
879,99778
880,233699
881,42117
882,89107
883,187818
884,44918
885,47460
886,202478
887,50841
888,125251
889,222376
890,201903
891,212814
892,60054
893,195545
894,195209
895,112074
896,115082
897,150814
898,71707
899,79973
900,67915
901,103901
902,45385
903,16853
904,64838
905,99288
906,25726
907,120993
908,146450
909,233486
910,213660
911,237688
912,68266
913,150834
914,116296
915,78298
916,59348
917,71341
918,53698
919,203406
920,15616
921,59457
922,228854
923,82706
924,220793
925,220269
926,34012
927,196084
928,179255
929,80031
930,144705
931,29414
932,103428
933,238391
934,6457
935,26427
936,186969
937,15798
938,84058
939,12658
940,55925
941,91527
942,80844
943,205841
944,245449
945,144403
946,161474
947,170772
948,207485
949,15092
950,137640
951,87554
952,51715
953,65487
954,78168
955,101115
956,4525
957,3195
958,156277
959,194936
960,43080
961,102985
962,81836
963,42155
964,194338
965,57020
966,113493
967,131468
968,125700
969,24388
970,137258
971,228983
972,100984
973,45522
974,204914
975,25953
976,224078
977,104254
978,216938
979,68853
980,45260
981,12860
982,56380
983,208841
984,39911
985,87136
986,237800
987,194376
988,219858
989,92748
990,244182
991,176714
992,103719
993,116546
994,191402
995,59607
996,204872
997,160547
998,79020
999,149977
1000,243238
1001,175738
1002,234289
1003,170488
1004,97455
1005,92997
1006,35538
1007,198558
1008,53769
1009,2249
1010,55588
1011,20432
1012,28766
1013,116164
1014,208958
1015,32860
1016,105135
1017,88129
1018,124089
1019,174709
1020,77706
1021,119469
1022,59210
1023,218860
1024,55669
1025,151012
1026,82494
1027,135724
1028,171178
1029,153149
1030,88534
1031,214584
1032,33682
1033,115317
1034,132201
1035,67318
1036,196010
1037,8836
1038,240033
1039,105249
1040,193476
1041,15588
1042,4181
1043,33268
1044,198697
1045,167734
1046,30043
1047,65392
1048,142474
1049,79613
1050,95307
1051,91258
1052,16307
1053,146285
1054,11259
1055,88627
1056,178204
1057,242684
1058,179869
1059,233037
1060,208867
1061,241289
1062,826
1063,49657
1064,187277
1065,197934
1066,210211
1067,26621
1068,95566
1069,209551
1070,140529
1071,49915
1072,101980
1073,123679
1074,119148
1075,190849
1076,115231
1077,28441
1078,148447
1079,221573
1080,33812
1081,119494
1082,8088
1083,119711
1084,38606
1085,12803
1086,183435
1087,178568
1088,211314
1089,136968
1090,40197
1091,96270
1092,119024
1093,226781
1094,243680
1095,108672
1096,79259
1097,26036
1098,97475
1099,198503
1100,159560
1101,125170
1102,175005
1103,183865
1104,74069
1105,225663
1106,87660
1107,135575
1108,5414
1109,25658
1110,53891
1111,10624
1112,132461
1113,5328
1114,164754
1115,44949
1116,164486
1117,60950
1118,93011
1119,40998
1120,72272
1121,197695
1122,193803
1123,55027
1124,202393
1125,46509
1126,142534
1127,186468
1128,124338
1129,159863
1130,175581
1131,22162
1132,111565
1133,66423
1134,38715
1135,24695
1136,181686
1137,129724
1138,132271
1139,196058
1140,156919
1141,195676
1142,41412
1143,99853
1144,48511
1145,90203
1146,231265
1147,6209
1148,136097
1149,39556
1150,202288
1151,97092
1152,68414
1153,180743
1154,93695
1155,27597
1156,111909
1157,51981
1158,57228
1159,41091
1160,220405
1161,179236
1162,108191
1163,58973
1164,31729
1165,124464
1166,15791
1167,161090
1168,93280
1169,185869
1170,221910
1171,140964
1172,97065
1173,197026
1174,65451
1175,177938
1176,193391
1177,173074
1178,72345
1179,152654
1180,103285
1181,126009
1182,120553
1183,127303
1184,8152
1185,215928
1186,224756
1187,9731
1188,245392
1189,113724
1190,75258
1191,172557
1192,211862
1193,171319
1194,95143
1195,90430
1196,122580
1197,75633
1198,111523
1199,203096
1200,92017
1201,68335
1202,68430
1203,19079
1204,209570
1205,145187
1206,230255
1207,190723
1208,241930
1209,126339
1210,136687
1211,207437
1212,9922
1213,111235
1214,222952
1215,141020
1216,153657
1217,55013
1218,38071
1219,215727
1220,220782
1221,239961
1222,607
1223,56699
1224,9256
1225,20245
1226,189863
1227,236425
1228,217158
1229,20246
1230,169129
1231,119457
1232,238758
1233,60088
1234,129127
1235,74253
1236,2196
1237,95765
1238,140898
1239,11622
1240,185538
1241,164328
1242,145878
1243,80201
1244,226557
1245,48563
1246,151730
1247,85134
1248,103344
1249,155761
1250,26198
1251,138518
1252,125588
1253,27260
1254,60875
1255,29535
1256,185913
1257,16329
1258,128523
1259,37902
1260,204596
1261,96255
1262,70921
1263,173444
1264,215511
1265,32294
1266,215512
1267,243200
1268,148080
1269,6434
1270,157295
1271,192085
1272,92461
1273,138143
1274,59355
1275,227714
1276,82514
1277,18817
1278,127934
1279,4631
1280,133322
1281,115735
1282,148138
1283,219672
1284,187387
1285,93917
1286,186592
1287,245569
1288,126459
1289,43150
1290,27146
1291,78645
1292,223180
1293,153832
1294,46870
1295,23343
1296,161610
1297,102232
1298,77225
1299,37736
1300,104039
1301,89532
1302,57858
1303,7527
1304,157737
1305,97205
1306,88166
1307,170641
1308,164068
1309,34564
1310,45591
1311,17195
1312,27471
1313,195468
1314,114816
1315,179951
1316,213987
1317,82699
1318,107788
1319,130057
1320,122476
1321,11559
1322,46791
1323,240338
1324,1395
1325,217532
1326,164298
1327,196180
1328,109137
1329,27659
1330,212728
1331,112504
1332,37079
1333,229641
1334,52086
1335,187598
1336,153558
1337,25318
1338,104291
1339,104796
1340,15453
1341,62666
1342,72868
1343,43339
1344,58713
1345,206677
1346,151284
1347,154615
1348,90821
1349,6479
1350,28731
1351,188607
1352,200623
1353,11864
1354,242321
1355,136091
1356,90860
1357,88880
1358,73003
1359,156433
1360,144522
1361,196306
1362,57972
1363,119926
1364,229150
1365,65686
1366,95239
1367,137142
1368,177646
1369,55499
1370,170026
1371,60189
1372,79309
1373,21357
1374,27405
1375,65657
1376,158441
1377,114445
1378,220995
1379,30977
1380,2587
1381,232429
1382,106257
1383,149627
1384,226327
1385,217124
1386,110595
1387,229605
1388,32141
1389,55624
1390,79812
1391,214157
1392,151084
1393,46067
1394,238251
1395,14870
1396,28663
1397,232954
1398,123228
1399,32567
1400,230266
1401,193022
1402,242128
1403,186241
1404,75603
1405,59657
1406,51912
1407,148568
1408,22772
1409,242059
1410,66703
1411,95287
1412,31158
1413,138184
1414,129722
1415,61346
1416,190166
1417,201946
1418,39476
1419,3747
1420,192308
1421,91894
1422,27252
1423,102078
1424,190242
1425,133284
1426,220953
1427,140771
1428,73332
1429,135471
1430,91052
1431,31951
1432,139173
1433,56487
1434,184266
1435,119452
1436,45391
1437,230551
1438,85597
1439,6665
1440,51336
1441,212553
1442,113942
1443,102880
1444,90274
1445,3626
1446,176167
1447,80278
1448,238106
1449,132441
1450,124683
1451,196413
1452,232979
1453,201142
1454,54168
1455,182872
1456,105462
1457,144894
1458,67805
1459,79347
1460,149709
1461,206201
1462,191519
1463,72348
1464,79053
1465,213136
1466,56725
1467,125644
1468,240854
1469,28357
1470,222671
1471,15093
1472,51776
1473,63642
1474,46964
