,0
0,13402
1,85012
2,110519
3,60502
4,40503
5,49225
6,34143
7,151685
8,241830
9,218835
10,101271
11,97728
12,92374
13,141091
14,81109
15,194982
16,204026
17,65371
18,97123
19,80787
20,31273
21,219735
22,208037
23,73194
24,183328
25,231899
26,161941
27,213302
28,111785
29,20295
30,233571
31,63078
32,230058
33,85762
34,52087
35,121882
36,172627
37,174696
38,31703
39,61208
40,12462
41,170557
42,89411
43,162357
44,223677
45,61816
46,149702
47,18834
48,22340
49,185995
50,144326
51,24175
52,155375
53,22609
54,75403
55,11855
56,229021
57,228360
58,13151
59,211563
60,7549
61,194350
62,191994
63,110987
64,89221
65,222052
66,223507
67,35626
68,182772
69,155379
70,135786
71,137485
72,56802
73,219309
74,76558
75,214408
76,28110
77,239383
78,22835
79,80513
80,223707
81,207802
82,123255
83,156188
84,142510
85,197529
86,241043
87,101021
88,42972
89,231917
90,162923
91,99586
92,213644
93,97110
94,177341
95,96554
96,223440
97,93258
98,45678
99,88646
100,244265
101,196145
102,28231
103,107990
104,165423
105,167824
106,232050
107,119706
108,143503
109,88518
110,380
111,105857
112,179996
113,136330
114,217793
115,124758
116,41419
117,218710
118,68048
119,98923
120,162197
121,23088
122,178828
123,102214
124,209783
125,218352
126,241292
127,240903
128,165502
129,140211
130,75227
131,240729
132,107238
133,97560
134,216988
135,194390
136,15090
137,40637
138,85463
139,183677
140,130807
141,189970
142,61655
143,191724
144,201042
145,76282
146,148481
147,12035
148,124117
149,202199
150,93209
151,176734
152,163563
153,176286
154,43124
155,138075
156,37719
157,120198
158,147342
159,1837
160,13553
161,222801
162,185467
163,80406
164,128225
165,152802
166,229457
167,150062
168,102678
169,222818
170,222865
171,95125
172,103416
173,209406
174,127919
175,238537
176,3344
177,165005
178,208413
179,8198
180,184514
181,173130
182,95144
183,193859
184,121640
185,209104
186,187811
187,88903
188,166831
189,18882
190,62699
191,68207
192,4134
193,112078
194,158692
195,147499
196,171094
197,95221
198,133581
199,120551
200,105293
201,215979
202,186855
203,123798
204,209342
205,87129
206,189167
207,94133
208,188668
209,191140
210,91745
211,71957
212,70947
213,37266
214,204445
215,86257
216,176350
217,26472
218,199902
219,45784
220,87592
221,128859
222,57725
223,151178
224,23289
225,122695
226,236518
227,100996
228,56778
229,73812
230,77774
231,226091
232,100182
233,122806
234,214859
235,212731
236,19131
237,109931
238,119614
239,111879
240,190196
241,57456
242,111140
243,58490
244,211721
245,100835
246,102847
247,5696
248,119824
249,91349
250,87261
251,221461
252,243853
253,147982
254,68158
255,102829
256,144528
257,109920
258,77420
259,239206
260,58520
261,170876
262,72902
263,71268
264,78293
265,51407
266,19640
267,18331
268,239676
269,118316
270,112241
271,156739
272,26080
273,53648
274,157064
275,146105
276,217222
277,178232
278,154621
279,160590
280,147365
281,185097
282,122270
283,139601
284,170301
285,95360
286,53654
287,189024
288,140857
289,65618
290,97640
291,83691
292,23051
293,154369
294,157362
