ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST
10006,06A,10056,A43
10011,1G4,10661,BLD
10014,A01,11630,FAI
10017,A04,10056,A43
10033,A20,10299,ANC
10033,A20,14709,SCC
10040,A27,11630,FAI
10042,A29,10056,A43
10056,A43,10006,06A
10056,A43,10042,A29
10056,A43,10056,A43
10056,A43,10083,A70
10056,A43,10278,ALZ
10056,A43,10324,AOS
10056,A43,10324,AOS
10056,A43,10556,BFB
10056,A43,11299,DGB
10056,A43,12705,KKB
10056,A43,12705,KKB
10056,A43,12721,KLN
10056,A43,12743,KMY
10056,A43,12771,KOY
10056,A43,12771,KOY
10056,A43,12782,KPR
10056,A43,12785,KPY
10056,A43,12854,KWP
10056,A43,12869,KZB
10056,A43,12869,KZB
10056,A43,15091,SYB
10056,A43,15091,SYB
10056,A43,15446,UGI
10056,A43,15836,WQX
10061,A48,10056,A43
10063,A50,10056,A43
10088,A75,10056,A43
10135,ABE,10397,ATL
10135,ABE,10693,BNA
10135,ABE,10821,BWI
10135,ABE,11057,CLT
10135,ABE,11193,CVG
10135,ABE,11292,DEN
10135,ABE,11295,DET
10135,ABE,11433,DTW
10135,ABE,11697,FLL
10135,ABE,12324,ILN
10135,ABE,12339,IND
10135,ABE,12932,LEB
10135,ABE,13244,MEM
10135,ABE,13360,MLB
10135,ABE,13577,MYR
10135,ABE,13731,NPT
10135,ABE,13796,OAK
10135,ABE,13930,ORD
10135,ABE,14082,PGD
10135,ABE,14112,PIE
10135,ABE,14691,SBD
10135,ABE,14761,SFB
10135,ABE,14986,SRQ
10136,ABI,10185,AEX
10136,ABI,11298,DFW
10136,ABI,12896,LBB
10136,ABI,14794,SGU
10139,ABL,12268,IAN
10139,ABL,13806,OBU
10139,ABL,13970,OTZ
10139,ABL,13970,OTZ
10139,ABL,13970,OTZ
10139,ABL,14485,RDB
10139,ABL,14804,SHG
10139,ABL,15785,WLK
10140,ABQ,10194,AFW
10140,ABQ,10397,ATL
10140,ABQ,10397,ATL
10140,ABQ,10423,AUS
10140,ABQ,10423,AUS
10140,ABQ,10423,AUS
10140,ABQ,10423,AUS
10140,ABQ,10529,BDL
10140,ABQ,10599,BHM
10140,ABQ,10693,BNA
10140,ABQ,10713,BOI
10140,ABQ,10721,BOS
10140,ABQ,10800,BUR
10140,ABQ,10821,BWI
10140,ABQ,11042,CLE
10140,ABQ,11085,CNM
10140,ABQ,11085,CNM
10140,ABQ,11109,COS
10140,ABQ,11259,DAL
10140,ABQ,11278,DCA
10140,ABQ,11292,DEN
10140,ABQ,11292,DEN
10140,ABQ,11292,DEN
10140,ABQ,11298,DFW
10140,ABQ,11298,DFW
